"Which of the following is not an application of stack?"," evaluation of postfix expression"," conversion of infix to postfix expression"," balancing symbols"," line at ticket counter","d"
"What is the result of the following postfix expression?","16","12","14","10","a"
"Evaluate and write the result for the following postfix expression","61","59","60","55","b"
"What would be the Prefix notation for the given equation?A+(B*C)","+A*CB","*B+AC","+A*BC","*A+CB","c"
"What would be the Prefix notation for the given equation?(A*B)+(C*D)","+*AB*CD","*+AB*CD","**AB+CD","+*BA*CD","a"
"What would be the Prefix notation for the given equation?A+B*C^D","+A*B^CD","+A^B*CD","*A+B^CD","^A*B+CD","a"
"What would be the Prefix notation for the given equation?A^B^C^D","^^^ABCD","^A^B^CD","ABCD^^^","AB^C^D","a"
"Which of the following is an infix expression?","(a+b)*(c+d)","ab+c*","+ab","abc+*","a"
"What is the time complexity of an infix to postfix conversion algorithm?","O(N log N)","O(N)","O(N2)","O(M log N)","b"
"Which of the following statement is incorrect with respect to infix to postfix conversion algorithm?","operand is always placed in the output","operator is placed in the stack when the stack operator has lower precedence","parenthesis are included in the output","higher and equal priority operators follow the same condition","c"
"The postfix expression abc+de/*- is equivalent to which of the following infix expression?","abc+-de*/","(a+b)-d/e*c","a-(b+c)*(d/e)","abc+*-(d/e)","c"
"The prefix expression of the postfix expression AB+CD-* is __________","(A+B)*(C-D)","+AB*-CD","A+*BCD-","*+AB-CD","d"
"Which of the following is valid reverse polish expression?","a op b","op a b","a b op","both op a b and a b op","c"
"The result of the postfix expression 5 3 * 9 + 6 / 8 4 / + is _____________","8","6","10","9","b"
"Which is the most appropriate data structure for reversing a word?","queue","stack","tree","graph","b"
"What is the time complexity of reversing a word using stack algorithm?","O (N log N)","O (N2)","O (N)","O (M log N)","c"
"How many stacks are required for reversing a word algorithm?","one","two","three","four","a"
"What will be the output of the following program?main()  {  }","sanfoundry","san foundry","yrdnuof nas","foundry nas","c"
"Which application of stack is used to ensure that the pair of parentheses is properly nested?","Balancing symbols","Reversing a stack","Conversion of an infix to postfix expression","Conversion of an infix to prefix expression","a"
"Which is the most appropriate data structure for applying balancing of symbols algorithm?","stack","queue","tree","graph","a"
"Which of the following statement is incorrect with respect to balancing symbols algorithm?","{[()]}","([ )] ","{( )}","{ [ ] }","b"
"What should be done when an opening parentheses is read in a balancing symbols algorithm?","push it on to the stack","throw an error","ignore the parentheses","pop the stack","a"
"How many passes does the balancing symbols algorithm makes through the input?","one","two","three","four","a"
"Which of the following statement is invalid with respect to balancing symbols?","[(A+B) + (C-D)] ","[{A+B}-{C-[D+E]}] ","((A+B) + (C+D)","{(A+B) + [C+D]}","c"
"Which of the following bitwise operations will you use to set a particular bit to 1?","OR","AND","XOR","NOR","a"
"Which of the following bitwise operations will you use to set a particular bit to 0?","OR","AND","XOR","NAND","b"
"Which of the following bitwise operations will you use to toggle a particular bit?","OR","AND","XOR","NOT","c"
"Which of the following is not an advantage of bit array?","Exploit bit level parallelism","Maximal use of data cache","Can be stored and manipulated in the register set for long periods of time","Accessing Individual Elements is easy","d"
"Which of the following is/are not applications of bit arrays?","Used by the Linux kernel","For the allocation of memory pages","Bloom filter","Implementation of Vectors and Matrices","d"
"Which class in Java can be used to represent bit array?","BitSet","BitVector","BitArray","BitStream","a"
"Which of the following bitwise operator will you use to invert all the bits in a bit array?","OR","NOT","XOR","NAND","b"
"What is meant by physical size in a dynamic array?","The size allocated to elements","The size extended to add new elements","The size of the underlying array at the back-end","The size visible to users","c"
"The number of items used by the dynamic array contents is its __________","Physical size","Capacity","Logical size","Random size","c"
"How will you implement dynamic arrays in Java?","Set","Map","HashMap","List","d"
"Which of the following is the correct syntax to declare an ArrayList in Java?","ArrayList al = new ArrayList();","ArrayList al = new ArrayList[];","ArrayList al() = new ArrayList();","ArrayList al[] = new ArrayList[];","a"
"Array is divided into two parts in ____________","Hashed Array Tree","Geometric Array","Bounded-size dynamic array","Sparse Array","c"
"Which of the following is a disadvantage of dynamic arrays?","Locality of reference","Data cache utilization","Random access","Memory leak","d"
"What is the time complexity for inserting/deleting at the beginning of the array?","O(1)","O(n)","O(logn)","O(nlogn)","b"
"The size of the dynamic array is deallocated if the array size is less than _________% of the backend physical size.","30","40","10","20","a"
"In which of the following cases dynamic arrays are not preferred?","If the size of the array is unknown","If the size of the array changes after few iterations","If the memory reallocation takes more time i.e. expensive","If the array holds less number of elements","d"
"The growth factor of ArrayList in Java is _______","1","1.5","2","0","b"
"Which of the following arrays are used in the implementation of list data type in python?","Bit array","Dynamic arrays","Sparse arrays","Parallel arrays","b"
"When do you use a sparse array?","When there are unique elements in the array","When the array has more occurrence of zero elements","When the data type of elements differ","When elements are sorted","b"
"What is the difference between a normal(naive) array and a sparse array?","Sparse array can hold more elements than a normal array","Sparse array is memory efficient","Sparse array is dynamic","A naive array is more efficient","b"
"Suffix array can be created by performing __________ traversal of a suffix tree.","breadth-first","level order","depth-first","either breadth-first or level order","c"
"LCP array and ______ is used to construct suffix tree.","Hash tree","Hash trie","Suffix array","Balanced tree","c"
"Which of the following property does not hold for matrix multiplication?","Associative","Distributive","Commutative","Additive Inverse","c"
"Which of the following is an advantage of matrices?","Internal complexity","Searching through a matrix is complex","Not space efficient","Graph Plotting","d"
"Who coined the term Sparse Matrix?","Harry Markowitz","James Sylvester","Chris Messina","Arthur Cayley","a"
"The matrix contains m rows and n columns. The matrix is called Sparse Matrix if ________","Total number of Zero elements > (m*n)/2","Total number of Zero elements = m + n","Total number of Zero elements = m/n","Total number of Zero elements = m-n","a"
"Which of the following is not the method to represent Sparse Matrix?","Dictionary of Keys","Linked List","Array","Heap","d"
"Which one of the following is a Special Sparse Matrix?","Band Matrix","Skew Matrix","Null matrix","Unit matrix","a"
"In what way the Symmetry Sparse Matrix can be stored efficiently?","Heap","Binary tree","Hash table","Adjacency List","b"
"How many inversions does a sorted array have?","0","1","2","cannot be determined","a"
"What is the condition for two elements arr[i] and arr[j] to form an inversion?","arr[i]<arr[j] ","i < j","arr[i] < arr[j] and i < j","arr[i] > arr[j] and i < j","d"
"Under what condition the number of inversions in an array are maximum?","when the array is sorted","when the array is reverse sorted","when the array is half sorted","depends on the given array","b"
"Under what condition the number of inversions in an array are minimum?","when the array is sorted","when the array is reverse sorted","when the array is half sorted","depends on the given array","a"
"What is the time complexity of the code that uses merge sort for determining the number of inversions in an array?","O(n2)","O(n)","O(log n)","O(n log n)","d"
"What is the time complexity of the code that uses self balancing BST for determining the number of inversions in an array?","O(n2)","O(n)","O(log n)","O(n log n)","d"
"What is the space complexity of the code that uses merge sort for determining the number of inversions in an array?","O(n)","O(log n)","O(1)","O(n log n)","a"
"What will be the output of the following code?#include <iostream>using namespace std;int main(){   }","5 6 1 2 3 4","6 5 4 3 1 2","3 4 5 6 1 2","error","a"
"What will be the time complexity of the following code?#include <iostream>using namespace std;int main(){   }","O(d)","O(n)","O(n2)","O(n*d)","b"
"What will be the auxiliary space complexity of the following code?#include <iostream>using namespace std;int main(){   }","O(1)","O(n)","O(d)","O(n*d)","c"
"What will be the output of the following code?#include <bits/stdc++.h> using namespace std; { } { } { } { }","4 5 1 2 3","3 4 5 1 2","5 4 3 1 2","error","a"
"What will be the auxiliary space complexity of the code to rotate an array by using the reversal algorithm (d = number of rotations)?","O(1)","O(n)","O(d)","O(n*d)","a"
"How many arguments are required by the predefined function rotate() in C++?","1","2","3","4","c"
"Predefined function rotate() in C++ is available under which header file?","math","stdio","stdlib","algorithm","d"
"Which of the following algorithm to rotate an array has the maximum time complexity?","rotate elements one by one","juggling algorithm","reversal algorithm","using a temporary array","a"
"What is the time complexity of the juggling algorithm to rotate an array?","O(1)","O(n)","O(d)","O(n*d)","b"
"What will be the output of the following code ?#include <bits/stdc++.h> using namespace std; { }      { } { }","1 2 3 4","4 3 2 1","1 4 2 3","4 1 2 3","b"
"Which of the following is the predefined function for array reversal in C++ ?","reverse()","arr_reverse()","array_reverse()","rev()","a"
"Which of the following is the predefined function for array reversal in javascript?","reverse()","arr_reverse()","array_reverse()","rev()","a"
"What will be the output of the following code?#include <bits/stdc++.h> using namespace std; {for (int i = s + 1; i <= e && i <= s + arr[s]; i++) { } return min; }{ }","1","2","3","error","c"
"What will be the output of the following code?#include <bits/stdc++.h> using namespace std; { return (x < y)? x: y; } { 	{ 		{ 			{ 			} 		} 	} } { }","1","2","3","error","c"
"What will be the time complexity of the following code?#include <bits/stdc++.h> using namespace std; { return (x < y)? x: y; } { 	{ 		{ 			{ 			} 		} 	} } { }","O(n log n)","O(n)","O(n1/2)","O(n2)","d"
"What will be the worst case time complexity of the following code?#include <bits/stdc++.h> using namespace std; {  		{ 	} } { }","O(n1/2)","O(n)","O(n3/2)","O(n2)","d"
"What is the minimum possible time complexity to find the number of steps to reach the end of an array?","O(n)","O(n2)","O(n3/2)","O(1)","a"
"Skip lists are similar to which of the following datastructure?","stack","heap","binary search tree","balanced binary search tree","d"
"What is the time complexity improvement of skip lists from linked lists in insertion and deletion?","O(n) to O(logn) where n is number of elements","O(n) to O(1) where n is number of elements","no change","O(n) to O(n2) where n is number of elements","a"
"The nodes in a skip list may have many forward references. their number is determined","probabilistically","randomly","sequentially","orthogonally","a"
"How to maintain multi-level skip list properties when insertions and deletions are done?","design each level of a multi-level skip list with varied probabilities","that cannot be maintained","rebalancing of lists","reconstruction","a"
"What is indexed skip list?","it stores width of link in place of element","it stores index values","array based linked list","indexed tree","a"
"Which of the following is true about the Move-To-Front Method for rearranging nodes?","node with highest access count is moved to head of the list","requires extra storage","may over-reward infrequently accessed nodes","requires a counter for each node","c"
"What technique is used in Transpose method?","searched node is swapped with its predecessor","node with highest access count is moved to head of the list","searched node is swapped with the head of list","searched nodes are rearranged based on their proximity to the head node","a"
"The worst case running time of a linear search on the self organizing list is ____","O(1)","O(logn)","O(n)","O(n2)","c"
"Which of the following data structure is preferred to have lesser search time when the list size is small?","search tree","sorted list","self organizing list","linked list","c"
"Symbol tables during compilation of program is efficiently implemented using __________","a singly linked list","a doubly linked list","a self organizing list","an array","c"
"Which of the following method performs poorly when elements are accessed in sequential order?","count method","move to front method","transpose meth","ordering method","b"
"The self organizing list improves _____","average access time","insertion","deletion","binary search","a"
"Which of the following is not the rearranging method used to implement self-organizing lists?","count method","move to front method","ordering method","least frequently used","d"
"What does a xor linked list have ?","every node stores the XOR of addresses of previous and next nodes","actuall memory address of next node","every node stores the XOR of addresses of previous and next two nodes","every node stores xor 0 and the current node address","a"
"What does first and last nodes of a xor linked lists contain ? (let address of first and last be A and B)","NULL xor A and B xor NULL","NULL and NULL","A and B","NULL xor A and B","a"
"What are implicit and explicit implementations of freelists?","garbage collection and new or malloc operators respectively","new or malloc and garbage collection respectively","implicit implementation is not favored","explicit implementation is not favored","a"
"What datastructures can be used in implementing a free list?","only linked list","linked list or sort trees","arrays","trees","b"
"How does implicit free lists(garbage collection) works in adding memory to free list ?","whichever comes last will be added to free list","whichever comes first will be added to free list","certain blocks cannot be used if there are no pointers to them and hence they can be freed","makes a probabilistic guess","c"
"Assume there is a free list which contains nodes and is filled with a value if it is already assigned and the value will be the size of requested block else will be 0.   (*z <= len))          \\ too small to satisfy request {            }The above code represents what ?","code for first fit","code for best fit","code for worst fit","none of the mentioned","a"
"How are free blocks linked together mostly and in what addressing order?","circular linked list and increasing addressing order","linked list and decreasing addressing order","linked list and in no addressing order","none of the mentioned","a"
"Accessing free list very frequently for wide range of addresses can lead to","paging","segmentation fault","memory errors","cache problems","a"
"What is/are the disadvantages of implementing tree using normal arrays?","difficulty in knowing children nodes of a node","difficult in finding the parent of a node","have to know the maximum number of nodes possible before creation of trees","difficult to implement","c"
"Why is heap implemented using array representations than tree(linked list) representations though both tree representations and heaps have same complexities?for binary heap-insert: O(log n)-delete min: O(log n)-insert: O(log n)-delete: O(log n)Then why go with array representation when both are having same values ?","arrays can store trees which are complete and heaps are not complete","lists representation takes more memory hence memory efficiency is less and go with arrays and arrays have better caching","lists have better caching","In lists insertion and deletion is difficult","b"
"Can a tree stored in an array using either one of inorder or post order or pre order traversals be again reformed?","Yes just traverse through the array and form the tree","No we need one more traversal to form a tree","No in case of sparse trees","Yes by using both inorder and array elements","b"
"Disadvantages of linked list representation of binary trees over arrays?","Randomly accessing is not possible","Extra memory for a pointer is needed with every element in the list","Difficulty in deletion","Random access is not possible and extra memory with every element","d"
"Which of the following traversing algorithm is not used to traverse in a tree?","Post order","Pre order","Post order","Randomized","d"
"How many common operations are performed in a binary tree?","1","2","3","4","c"
"What is the traversal strategy used in the binary tree?","depth-first traversal","breadth-first traversal","random traversal","Priority traversal","b"
"How many types of insertion are performed in a binary tree?","1","2","3","4","b"
"How many bits would a succinct binary tree occupy?","n+O(n)","2n+O(n)","n/2","n","b"
"The average depth of a binary tree is given as?","O(N)","O(N)","O(N2)","O(log N)","d"
"How many orders of traversal are applicable to a binary tree (In General)?","1","4","2","3","d"
"Using what formula can a parent node be located in an array?","(i+1)/2","(i-1)/2","i/2","2i/2","b"
"The post-order traversal of a binary tree is O P Q R S T. Then possible pre-order traversal will be ________","T Q R S O P","T O Q R P S","T Q O P S R","T Q O S P R","c"
"A full binary tree can be generated using ______","post-order and pre-order traversal","pre-order traversal","post-order traversal","in-order traversal","a"
"The number of edges from the node to the deepest leaf is called _________ of the tree.","Height","Depth","Length","Width","a"
"What is a full binary tree?","Each node has exactly zero or two children","Each node has exactly two children","All the leaves are at the same level","Each node has exactly one or two children","a"
"What is the average case time complexity for finding the height of the binary tree?","h = O(loglogn)","h = O(nlogn)","h = O(n)","h = O(log n)","d"
"Which of the following is not an advantage of trees?","Hierarchical structure","Faster search","Router algorithms","Undo/Redo operations in a notepad","d"
"The balance factor of a node in a binary tree is defined as _____","addition of heights of left and right subtrees","height of right subtree minus height of left subtree","height of left subtree minus height of right subtree","height of right subtree minus one","c"
"Which of the following tree data structures is not a balanced binary tree?","AVL tree","Red-black tree","Splay tree","B-tree","d"
"Which of the following data structures can be efficiently implemented using height balanced binary search tree?","sets","priority queue","heap","both sets and priority queue","d"
"Two balanced binary trees are given with m and n elements respectively. They can be merged into a balanced binary search tree in ____ time.","O(m+n)","O(mn)","O(m)","O(mlog n)","a"
"Associative arrays can be implemented using __________","B-tree","A doubly linked list","A single linked list","A self balancing binary search tree","d"
"Which process forms the randomized binary search tree?","Stochastic Process","Branching Process","Diffusion Process","Aggregation Process","a"
"What is the expected depth of a node in a randomized binary search tree?","log n","n!","n2","2 log n + O(1)","d"
"What is the longest length path for a node x in random binary search tree for the insertion process?","log x","x2","x!","4.311 log x","d"
"What is the expected number of leaves in a randomized binary search tree?","n + 1","(n + 1)/3","(n + 1)/2","n + 3","b"
"What is the probability of selecting a tree uniformly at random?","Equal to Catalan Number","Less Than Catalan Number","Greater than Catalan Number","Reciprocal of Catalan Number","d"
"Which of the following is the correct definition for a horizontal link?","connection between node and a child of equal levels","connection between two nodes","connection between two child nodes","connection between root node and leaf node","a"
"How will you remove a left horizontal link in an AA-tree?","by performing right rotation","by performing left rotation","by deleting both the elements","by inserting a new element","a"
"What are the two different operations done in an AA-Tree?","shift and color","skew and split","zig and zag","enqueue and dequeue","b"
"How many different shapes does maintenance of AA-Tree need to consider?","7","5","2","3","c"
"What is the prime condition of AA-tree which makes it simpler than a red-black tree?","Only right children can be red","Only left children can be red","Right children should strictly be black","There should be no left children","a"
"Which of the following trees is similar to that of an AA-Tree?","Splay Tree","B+ Tree","AVL Tree","Red-Black Tree","d"
"What is the worst case analysis of an AA-Tree?","O(N)","O(log N)","O( N log N)","O(N2)","b"
"Who is the inventor of AA-Tree?","Arne Anderson","Daniel Sleator","Rudolf Bayer","Jon Louis Bentley","a"
"What should be the condition for the level of a left node?","It should be less than or equal to that of its parent","It should be greater than that of its parent","It should be strictly less than that of its parent","The level should be equal to one","c"
"Why we need to a binary tree which is height balanced?","to avoid formation of skew trees","to save memory","to attain faster memory access","to simplify storing","a"
"Which of the below diagram is following AVL tree property?ii.","only i","only i and ii","only ii","i is not a binary search tree","b"
"What is the maximum height of an AVL tree with p nodes?","p","log(p)","log(p)/2","p2","b"
"What maximum difference in heights between the leafs of a AVL tree is possible?","log(n) where n is the number of nodes","n where n is the number of nodes","0 or 1","atmost 1","a"
"Why to prefer red-black trees over AVL trees?","Because red-black is more rigidly balanced","AVL tree store balance factor in every node which costs space","AVL tree fails at scale","Red black is more efficient","b"
"What is the speciality of cartesian sorting?","it sorts partially sorted set of data quickly","it considers cartesian product of elements","it sorts elements in less than O(logn)","it is a self balancing tree","a"
"What happens if we apply the below operations on an input sequence?i. construct a cartesian tree for input sequenceii. put the root element of above tree in a priority queueiii. if( priority queue is not empty) theniv. search and delete minimum value in priority queuev. add that to outputvi. add cartesian tree children of above node to priority queue","constructs a cartesian tree","sorts the input sequence","does nothing","produces some random output","b"
"Cartesian trees are most suitable for?","searching","finding nth element","minimum range query and lowest common ancestors","self balancing a tree","c"
"Consider below sequences.How to achieve the above operation efficiently?","use linked lists","use avl trees","use red-black trees","use treaps (cartesian trees)","d"
"What is the condition for a tree to be weight balanced. where a is factor and n is a node?","weight[n.left] >= a*weight[n] and weight[n.right] >= a*weight[n].","weight[n.left] >= a*weight[n.right] and weight[n.right] >= a*weight[n].","weight[n.left] >= a*weight[n.left] and weight[n.right] >= a*weight[n].","weight[n] is a non zero","a"
"What does the below definations convey?","weight balanced and height balanced tree definations","height balanced and weight balanced tree definations","definations of weight balanced tree","definations of height balanced tree","a"
"Why do we impose restrictions like . root property is black . every leaf is black . children of red node are black . all leaves have same black","to get logarithm time complexity","to get linear time complexity","to get exponential time complexity","to get constant time complexity","a"
"When it would be optimal to prefer Red-black trees over AVL trees?","when there are more insertions or deletions","when more search is needed","when tree must be balanced","when log(nodes) time complexity is needed","a"
"Why Red-black trees are preferred over hash tables though hash tables have constant time complexity?","no they are not preferred","because of resizing issues of hash table and better ordering in redblack trees","because they can be implemented using trees","because they are balanced","b"
"How can you save memory when storing color information in Red-Black tree?","using least significant bit of one of the pointers in the node for color information","using another array with colors of each node","storing color information in the node structure","using negative and positive numbering","a"
"How many edges are present in path cluster?","2","3","6","1","a"
"How many edges does a leaf cluster contain?","0","1","2","3","a"
"How many edges are present in Edge cluster?","0","1","2","4","b"
"Which data structure is used to maintain a dynamic forest using a link or cut operation?","Top Tree","Array","Linked List","Stack","a"
"What is the time complexity for the initialization of top tree?","O (n)","O (n2)","O (log n)","O (n!)","a"
"How many top trees are there in a tree with single vertex?","0","1","2","3","a"
"Which property makes top tree a binary tree?","Nodes as Cluster","Leaves as Edges","Root is Tree Itself","All of the mentioned","d"
"Which of the dynamic operations are used in Top Tree data structure implementation?","Link","Cut","Expose","All of the mentioned","d"
"Which of the following are used as an internal operation in Top tree?","Merge","Cut","Expose","Link","a"
"What is the time complexity for maintaining a dynamic set of weighted trees?","O (n)","O (n2)","O (log n)","O (n!)","c"
"Why to prefer splay trees?","easier to program","space efficiency","easier to program and faster access to recently accessed items","quick searching","c"
